Date,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
88,5.5,6.5,7.6,6.8,5.9,8.3,4.4,6.2,11.3
89,4.7,13.7,10.5,4.9,7.8,5,4.4,4.8,5.3
90,6.2,16.8,6.6,6.2,4.8,7.8,7.7,4.3,7.9
91,6.4,6.3,6.4,6.5,9.3,9.1,7.9,9.5,9.8
92,8.4,6,11,14.7,8.3,7.9,8.1,9.9,6.9
93,10.8,6.9,17.7,10.6,9.6,8.5,12.4,5.8,12
94,12.1,3.7,20.4,14.2,5.9,8.6,16.2,3.8,11.5
95,6.1,2.7,11.7,13.8,5.3,8,7.3,2.6,10.3
96,3.9,7,5.9,9,8.8,7.9,3,5.6,4.7
97,4.8,2.5,6.8,5.4,14.1,4.7,4.3,8.2,7.3
98,3.1,2.8,8.3,4.7,7.7,4.2,4,4.2,8.5
99,9.1,7.4,8.3,9.7,5.8,4.4,7,6.8,10
100,10.1,13.1,11.2,6.1,6.7,4.2,9,11.4,7.3
101,17.1,14.6,20,8.9,6.3,8.6,18.7,9.4,8.9
102,9,8.7,16.3,10.2,7.1,9.2,7.7,7.8,9.7
103,3.7,6.7,9.4,6.6,11,11.9,5,10.7,10
104,9.9,12.7,19.9,7.4,9.3,9.8,10.3,14.5,16.8
105,8.2,12.5,13.1,5.9,7.7,10.8,8.2,7.1,12.2
106,7.7,6.1,12.4,8.1,6.2,7.1,7.2,9,5.2
107,10.2,9.9,15.6,9.5,7.9,8,9.9,10,9.8
108,3.9,4.5,12.9,8.3,4.6,5.9,4.8,8.4,12.6
109,6.9,8.6,8.6,8.5,4.2,6.4,8.4,6.7,6.8
110,5.1,13,13.2,6.1,7.9,6.7,5.6,5.9,7.6
111,3.7,7.7,9.2,9.4,5.3,4.2,4,12.6,5.5
112,9,16.7,13.3,13.9,6,6.7,12,5.5,6.8
113,12,5.3,17.8,11.7,6.3,9.4,11.8,7.8,12.7
114,3.9,7.3,7.2,16.8,7.2,9.6,4.8,10.9,10
