Year,Afghanistan,Brazil,China,France,Germany ,India,Japan,Spain,United Kingdom
2100,107403.725,227054.677,1232016.998,74402.801,84057.455,1872956.394,85926.924,37711.396,86806.295
2020,38928.341,212559.409,1439323.774,65273.512,83783.945,1380004.385,126476.458,46754.783,67886.004
2025,43004.269,217284.851,1450932.847,65748.83,83035.389,1431707.563,123325.211,46361.737,68914.782
2030,46646.549,219978.986,1448028.393,66072.62,82168.855,1474361.835,119395.423,45790.635,69728.122
2035,49936.774,220834.508,1436325.2,66236.246,81190.05,1504986.136,115133.205,45084.161,70380.245
2040,52844.189,220030.797,1415243.594,66222.8,80056.863,1524051.147,110594.38,44269.404,70888.864
2045,55450.562,217648.603,1384807.559,65905.923,78747.831,1531348.631,106170.199,43284.812,71335.622
2050,57635.247,213841.532,1346596.759,65387.936,77221.806,1525634.346,101768.793,42094.7,71608.273
2055,59247.045,208885.866,1301291.216,64744.6,75653.082,1508666.762,97384.502,40605.016,71752.379
2060,60301.676,202668.655,1254728.88,63989.594,74164.075,1481199.843,92882.291,38875.945,71700.293
2065,60749.014,195653.024,1208137.451,63215.997,72832.618,1444201.411,88166.029,37036.228,71535.323
2070,60691.974,187677.141,1161460.995,62525.956,71683.986,1400943.422,83603.338,35220.266,71403.864
2075,59991.179,179038.109,1115806.897,61834.58,70576.501,1350031.812,79320.745,33623.203,71214.972
2080,58794.35,169460.111,1069984.742,61082.072,69449.349,1292639.157,75614.71,32354.345,70875.613
2085,57124.77,159879.449,1026418.851,60339.03,68338.815,1234787.018,72215.3,31278.713,70591.375
2090,54991.905,150493.538,984834.204,59541.155,67479.814,1174658.686,69226.305,30310.485,70304.663
2095,52642.115,141342.278,946212.147,58677.679,66701.18,1113877.709,66360.171,29351.426,70031.207
2100,50216.628,132832.072,908402.636,57742.816,66032.602,1056039.843,63591.852,28381.439,69763.186
2020,38928.341,212559.409,1439323.774,65273.512,83783.945,1380004.385,126476.458,46754.783,67886.004
2025,44331.51,221698.389,1469691.34,66503.086,84211.298,1464694.568,124968.989,46904.772,69804.425
2030,50133.547,229596.233,1490522.698,67635.277,84472.301,1547324.55,122803.759,46908.017,71567.917
2035,56198.22,236352.738,1501249.8,68716.632,84679.761,1624167.066,120273.311,46838.638,73225.049
2040,62355.62,241879.046,1504362.601,69727.974,84711.413,1691933.017,117463.059,46710.01,74745.638
2045,68538.589,246059.421,1499285.511,70481.838,84619.095,1752876.607,114645.919,46446.56,76228.834
2050,74847.617,249301.602,1488663.592,71022.141,84284.972,1808093.418,111711.588,45988.348,77618.404
2055,81150.365,251744.101,1471511.262,71534.646,84015.482,1863266.153,108957.11,45257.863,78998.106
2060,87535.853,253512.924,1451193.356,72135.772,83820.768,1915260.904,106207.925,44309.935,80243.978
2065,93713.051,254429.386,1428614.768,72839.635,83868.432,1961802.67,103338.308,43204.713,81480.195
2070,99463.46,255199.362,1408520.847,73615.348,84236.012,2003222.517,100536.676,42134.277,82871.756
2075,104966.585,254647.801,1388374.276,74615.648,84796.551,2036638.893,97999.376,41211.845,84374.268
2080,110271.661,253316.032,1371262.521,75608.232,85392.496,2061877.282,95991.56,40572.533,85880.485
2085,115109.09,252113.931,1357411.106,76671.124,86118.172,2098010.471,94560.305,40225.816,87566.625
2090,119553.369,251517.062,1347655.438,77727.864,87083.069,2130595.061,93566.718,40117.975,89147.764
2095,124145.617,250531.805,1341215.356,79065.166,88380.113,2157257.508,92902.129,40091.36,90962.927
2100,127925.989,250662.098,1339622.914,80470.4,89862.541,2181573.578,92354.677,40169.377,93082.699
2020,38928.341,212559.409,1439323.774,65273.512,83783.945,1380004.385,126476.458,46754.783,67886.004
2025,42712.216,216384.995,1447609.478,65575.213,82763.125,1424424.123,122972.72,46252.715,68712.316
2030,45883.014,218109.851,1440582.04,65732.404,81625.123,1457805.89,118707.472,45559.751,69317.138
2035,48499.805,217767.965,1423672.172,65721.481,80376.51,1478752.498,114031.786,44701.794,69731.631
2040,50782.429,215606.614,1397296.854,65455.607,78977.489,1488142.05,109099.082,43717.202,70021.254
2045,52739.327,211764.166,1361444.52,64922.119,77414.975,1484198.78,104285.157,42571.855,70203.189
2050,54238.872,206778.065,1317717.186,64165.112,75646.39,1468134.265,99575.509,41225.482,70264.99
2055,54998.812,200382.348,1266798.025,63306.296,73891.182,1440110.27,94852.532,39557.295,70128.936
2060,55352.04,192734.801,1213327.543,62266.241,72136.261,1400644.878,89888.291,37717.013,69861.571
2065,54898.051,184071.755,1159830.533,61230.431,70549.505,1351917.947,84793.436,35696.056,69495.45
2070,54032.157,174676.014,1106299.978,60224.543,69118.27,1293460.687,79811.601,33651.863,69019.865
2075,52643.172,164775.015,1054114.553,59294.81,67632.475,1231211.143,75071.41,31797.22,68463.398
2080,50860.75,153827.257,1005477.971,58238.069,66173.565,1163875.157,70914,30327.24,67912.16
2085,48589.929,143366.76,955037.366,57159.132,64752.69,1094225.75,67044.618,29106.204,67344.821
2090,45767.863,132861.643,907470.627,55969.4,63406.456,1024908.117,63558.708,27916.663,66627.424
2095,42808.113,122707.156,863197.735,54866.391,62219.813,955405.239,60276.711,26741.018,65827.758
2100,39902.101,113027.738,820154.565,53691.397,61219.027,886945.125,56915.717,25488.423,65131.043
