year,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
111,10,10,10,10,10,7.8,10,10,9.7
112,9.9,9.5,9.8,9.8,10,8,10,10,9.9
113,10,9.6,10,9.8,10,9,10,10,9.3
114,9.5,5.1,10,9.5,10,8.2,9,10,10
115,5.5,4.9,8.1,10,10,10,7.5,9.4,10
116,8.5,8.8,9.8,10,10,9.9,9.4,9.9,10
117,4.8,9.9,8.2,10,10,10,8.2,9.4,10
118,9.1,9.3,9,10,10,10,9.6,10,10
119,10,9.2,10,10,10,8.8,9.7,10,9.7
120,10,8.5,9.7,10,10,8.8,9,10,9.6
121,7.7,8.7,7.9,9.5,10,10,7.8,9.4,10
122,9.2,8.3,7.2,10,9.9,10,9.3,10,10
123,10,10,10,10,10,10,10,10,10
124,10,10,9.7,10,10,10,10,10,10
125,9.1,10,10,10,10,9.7,9.5,9.9,10
126,10,10,10,10,10,10,10,10,9.7
127,6.3,10,10,10,10,9.7,7.1,10,10
128,9.5,9.8,10,10,9.5,10,10,10,10
129,9.6,9.9,10,10,10,10,10,10,9.6
130,9.2,10,8.9,10,10,10,9.7,10,10
131,10,9.6,10,10,10,10,10,10,10
132,10,8.7,9.9,10,10,10,10,10,10
133,10,9.9,10,9.2,9.9,10,10,9.9,10
134,10,9.9,10,10,10,9.7,10,9.8,10
135,10,7,10,9.9,10,9.5,10,9.8,10
136,10,5.3,10,9.9,10,9.4,10,10,10
137,10,9.5,10,10,10,9.5,10,9.5,6.7
138,10,8.7,10,8.2,10,10,10,10,9.2
139,9.8,4.6,10,9.4,10,10,8.2,10,10
140,10,6.4,10,10,10,10,10,10,10
141,10,10,10,9.9,10,8.7,10,10,10
142,10,10,10,9.8,10,8.9,10,9.9,8.8
143,5.5,7.2,9.6,10,10,9.5,7.1,9.7,10
144,7,8.2,2.9,10,9.2,9,9.1,10,9.6
145,9.6,9.9,10,10,10,9.3,10,10,9.7
146,9.4,9.1,9.6,10,10,9.5,10,9.3,8
147,8.2,9,5.1,10,10,9.6,9.7,9.8,10
148,8.2,9.1,4.9,10,10,9.7,9.2,9.4,10
149,7.3,9.5,2.3,10,10,9.9,8.9,8.6,10
150,9.8,9.6,3.4,10,10,10,10,9.9,10
151,10,10,7.2,9.7,10,10,9.9,10,10
152,10,10,10,9.9,9.9,9.7,10,9.5,10
153,10,10,10,10,10,8.3,10,10,10
154,10,9.7,10,10,10,9.2,10,9.6,10
155,10,9.9,9.8,10,10,9.4,10,10,10
156,10,10,9.6,10,10,9.6,10,8.7,10
157,8.4,10,9.3,10,10,10,8.2,10,10
158,7.9,10,6,10,9.7,10,7.9,9.9,9.6
159,10,10,10,10,8.6,10,10,9.1,10
160,10,10,10,10,9.7,10,10,9.4,10
161,10,10,10,10,10,9.6,10,9.9,10
162,10,9.8,10,10,10,9.2,9.8,9.9,9.7
163,9.1,10,8.4,9.8,10,10,9.3,9.9,10
164,10,10,5.5,10,10,10,10,10,10
165,10,10,10,10,10,10,10,9.9,10
166,10,10,10,9.3,10,10,10,9.4,10
167,10,10,10,10,10,9.9,10,10,10
168,10,10,10,10,10,10,10,10,10
169,9.9,9.6,10,10,9.5,10,9.2,10,10
170,6.1,10,4.9,10,10,10,7.8,9.6,10
171,10,10,6,10,10,10,9.4,10,10
172,9,9.5,9.7,10,10,9.7,7.7,10,8.9
173,9.2,9.9,10,10,10,10,9.1,10,9.6
174,10,9.7,10,10,10,8.9,9.8,10,10
175,9.7,8.9,10,9.9,10,10,7.5,9.3,8.7
176,10,10,10,10,10,8.4,9.9,10,10
177,10,10,10,10,10,8.5,10,10,10
178,9.9,10,10,9.9,10,7.2,10,10,10
179,10,7.9,9.7,10,10,7.3,9.7,10,7.6
180,10,9.9,9.9,10,10,9.5,10,10,9.1
181,10,10,9.7,10,9.7,9.9,10,9.8,10
182,10,10,10,9.5,10,8.7,10,9.8,10
183,8.8,10,9.9,9.7,10,8.9,9.8,9.7,10
184,10,10,10,9.9,10,7,10,9.6,9.7
185,10,10,9.8,9.7,10,9,10,9.6,9.7
186,10,10,9.4,10,10,9.3,10,9.7,10
187,7.7,8.3,10,10,10,9.1,7.5,9.1,9.3
188,9.6,9.8,10,10,10,10,9.6,9.6,9.8
189,9,10,10,10,10,9.7,9.2,9.8,10
190,9.9,9.3,10,10,10,9,10,10,10
191,9.9,9.7,10,10,10,9.3,10,10,10
192,10,9.5,7.9,10,10,10,10,9.5,10
193,9.9,9.2,8.9,10,10,10,9.4,9.4,10
194,10,10,9.6,10,10,9.5,10,9.9,10
195,9.9,10,10,9.7,10,10,10,9.8,10
196,10,10,10,10,10,9,10,10,10
197,10,10,10,10,10,9.7,10,9.1,10
198,9.4,6.5,10,10,10,9.6,10,10,10
199,9.9,10,9.7,10,10,9.9,10,10,10
200,10,10,9.9,10,10,10,10,10,10
201,10,9.4,9.9,10,10,10,10,10,10
202,10,9.5,10,10,10,9.6,9.9,10,10
203,10,10,10,10,10,9.5,10,9.9,10
204,9.1,9.6,9.8,10,10,9.8,8.8,10,10
205,8.4,10,9.8,10,10,10,9.9,9.8,10
206,9.4,10,9.5,10,10,10,8.7,9.9,10
207,8.5,9.7,8.9,10,10,9.4,9.4,10,10
208,10,9.6,9.9,10,10,9.5,9.9,10,10
209,10,10,10,9.9,10,8.9,10,9.6,10
210,10,10,10,9.9,9.9,9.4,10,10,9
211,10,10,10,9.7,10,9.3,9.9,10,10
212,10,10,9.9,9.7,10,8.7,9.9,9.9,10
213,8.2,10,9,10,10,10,7.5,10,10
214,8.6,9.2,9.5,10,10,8.9,8.7,9.9,10
215,10,6.3,9.8,10,10,10,10,9.6,10
216,9.7,9,10,10,10,10,9.7,10,10
217,6.9,9.5,8.7,9.5,10,10,8.2,9.8,10
218,10,10,10,8.7,10,10,10,9.6,10
219,8.6,10,9.8,9.6,10,10,9.5,9.8,9.5
220,9.7,9.7,9.5,10,10,10,10,9.7,10
221,9.8,9.9,9.8,10,10,10,10,10,10
222,9.7,10,9.6,10,10,10,9.6,9.6,10
223,9.7,9.3,9.2,9.6,10,9.9,9.7,9.8,10
224,9.6,10,8.8,10,10,10,9.9,10,10
225,9.5,10,7.8,9.9,10,10,9.7,10,10
226,8.8,10,9.8,10,10,10,8.4,9.9,10
227,8.4,10,9.8,10,10,10,10,10,10
228,9.7,10,10,10,10,10,10,10,10
229,6.7,9.1,9,10,10,10,8.8,10,10
230,9.8,10,10,10,10,9.2,9.2,9.7,9.5
231,10,10,10,10,10,10,10,9.8,10
232,9.4,10,9.7,7.1,10,10,9.6,10,10
233,10,10,10,9.7,10,10,10,10,10
234,10,10,10,9.1,7.9,9.6,9.9,10,10
235,9.5,10,10,9,7.2,9.6,9.7,10,10
236,9.8,9.8,10,8.3,8.9,9.5,9.5,9.3,10
237,10,9.4,10,7.8,10,9.6,9.5,9.8,10
238,10,9.5,10,6.6,9.5,10,9.9,9.8,10
239,10,9.2,10,9.5,9.9,9.6,9.9,9.9,10
240,10,9.5,10,9.5,9.9,10,10,10,10
241,9.7,6.6,9.6,6.8,10,8.9,9.5,10,9.9
242,8.8,9.5,9.7,6.2,10,9.7,8.2,9.9,10
243,10,10,10,7.6,10,10,10,9.4,9.4
244,9.8,9.9,10,7.1,10,9.6,9.3,9.1,10
245,9.9,9.1,9.7,6.9,10,9.6,9.5,10,9.7
246,8.9,8.3,9,9.1,10,9.1,7.6,10,9.1
247,8.5,9.9,9.8,9.6,10,10,9.1,9.9,10
248,9,10,9.7,9.5,10,10,9.6,9.8,10
249,10,10,10,10,10,9.5,10,10,9.7
250,10,9.2,10,9.6,9.7,9.7,10,10,9.8
251,10,9.1,10,8.9,7.6,9.7,10,9.9,10
252,10,6.6,10,9.4,9.1,9.9,10,10,10
253,8.8,4.4,10,8.7,10,9.8,9.5,9.1,9.6
254,7.6,6.1,8.6,4.3,10,8.7,8.7,10,8.4
255,8.5,9.9,9.7,1.3,10,9.7,10,10,10
256,10,9.7,10,2.2,10,10,10,10,10
257,10,7.8,10,2.8,10,10,10,9.3,10
258,10,9.9,10,1.7,10,10,10,9.6,10
259,10,9.4,10,6.4,10,10,10,10,10
260,10,9.9,10,7.9,10,10,10,10,10
261,9.6,9.6,10,6.8,10,10,9.6,10,10
262,8.3,10,10,10,10,10,8.5,10,10
263,10,9.9,10,10,9.5,9.4,10,10,8.3
264,10,8.8,10,9.7,10,8.5,10,7.3,9.9
265,10,9.5,10,9.6,9.7,7.7,10,9.9,9.6
266,10,8.9,10,10,10,6,10,10,4.8
267,10,9,10,10,10,6.6,10,10,8.7
268,10,8.5,10,9.3,10,9.9,10,10,10
269,7.3,7.3,8.9,9.7,9.7,10,7.7,10,10
270,5.6,7.5,9.8,10,9.5,9.5,8.1,10,9.8
271,5,9.7,10,9.8,10,10,8.8,10,10
272,9.7,6.6,7.2,10,10,9.7,9.9,9.5,10
273,9.6,7.9,9.6,10,10,10,10,9.6,10
274,8.6,9.5,9.5,7.3,10,10,9.6,10,10
275,9.9,9.5,10,8.4,10,9.9,10,10,10
276,9,10,9.8,4.5,10,10,9.2,10,10
277,10,9.8,10,9.2,10,10,10,9.9,10
278,10,8.5,10,10,9.7,10,10,10,10
279,9.9,8.3,10,6.4,9.6,10,9.3,10,10
280,10,10,10,9.1,9.7,10,9.4,10,10
281,10,10,10,6.4,7.6,10,9.7,10,10
282,10,9.9,10,8.4,8.4,9.7,10,9.9,9.9
283,10,9.6,10,9.7,9.8,10,10,10,9
284,10,9.1,10,10,10,9.5,10,10,9.6
285,9,9.8,10,9.7,9.7,7.8,9,9.5,9.9
286,3,9,7.3,10,10,9.6,4.2,9.9,9.3
287,6.9,9.5,6.1,10,10,10,6.7,10,10
288,10,10,10,10,10,10,10,10,10
289,10,9.6,10,10,10,10,10,10,10
290,9.7,10,8.3,10,10,8.1,10,10,10
291,10,10,9.6,10,10,10,9.9,10,10
292,9.9,9.5,10,9.9,10,9.4,10,9.6,10
293,9.6,7.5,10,10,10,9.5,9.4,9.3,9.3
294,7.8,7.6,7.4,10,10,8.4,9.7,10,10
295,5.4,7.4,1.3,10,10,6.7,5.9,10,10
296,4.1,5.3,2.3,9.8,9.5,8,5.2,9.7,9.9
297,6,6.1,5.1,9.8,10,8.8,9.3,9.4,9.4
298,8.2,10,9.8,10,10,10,9.9,10,10
299,9.4,9.9,10,10,8.4,8.5,8,10,7.9
300,6,8,5.7,9.8,10,9.1,5,10,3.4
301,10,9,7.1,10,10,8.7,10,10,2.4
302,8.7,7.7,7.5,9.9,9.9,6,7.2,10,5.2
303,5.5,8.4,7.1,9.7,9.9,10,5.5,10,9.7
304,8.1,9.9,7.8,9.4,10,10,9.1,10,10
305,9.9,9.8,10,9.6,10,10,10,10,10
306,9,9.3,9.5,9.8,10,10,9.4,9.8,10
307,10,10,9.9,9.5,10,10,10,9,10
308,10,9.7,10,9.5,10,10,10,10,10
309,10,9.9,10,9.8,10,10,10,10,10
310,8.9,9.7,8.1,8.5,10,9.5,10,10,10
311,9.7,9,10,10,10,9.7,10,10,9.9
312,9.9,8.1,10,10,10,10,10,10,9.9
313,9.5,7.4,9.6,10,7.6,7.8,9.8,9.6,9.8
314,7.4,9,9.3,10,6.9,9.1,7,8.5,9.6
315,9.7,9.9,9.2,10,9.5,8.4,10,8.9,10
316,8.1,9.1,9.5,10,9,10,7.9,9.7,10
317,6.1,8.8,5.7,10,8.6,10,7.1,9.1,9.9
318,8.5,8.3,6.6,10,10,6.8,10,10,10
319,10,8.4,10,9.3,9.9,9.7,10,10,10
320,10,7.6,10,10,10,9.6,9.7,10,10
321,9.5,10,9.9,10,10,10,10,9.6,10
322,10,8.8,10,8.7,9.9,10,10,10,10
323,10,10,10,9,10,10,10,10,10
324,10,10,10,9.4,10,10,10,10,10
325,10,9.8,10,10,10,6.4,10,9.9,10
326,10,9.7,10,10,10,6.7,10,9.8,9.7
327,10,5.4,10,10,10,10,10,10,9.8
328,9.8,7.5,8.7,9.2,9.2,9,9.8,10,10
329,10,8.9,10,10,9.7,8.7,10,10,5.4
330,10,5.4,10,10,10,10,10,10,10
331,8.7,7,9,9.8,9.3,10,9.3,10,10
332,10,9.1,10,10,10,7.1,10,10,10
